Line Item,FY2024 Total,Q1 2024,Q2 2024,Q3 2024,Q4 2024,YoY Growth
Total Revenue,$18500000,$4200000,$4500000,$4800000,$5000000,23.3%
Cost of Goods Sold,$7400000,$1700000,$1800000,$1900000,$2000000,18.0%
Gross Profit,$11100000,$2500000,$2700000,$2900000,$3000000,27.0%
Gross Margin,60.0%,59.5%,60.0%,60.4%,60.0%,+2.4pp
Research and Development,$2400000,$550000,$580000,$620000,$650000,14.3%
Sales and Marketing,$3200000,$750000,$780000,$830000,$840000,18.5%
General Administrative,$1600000,$380000,$390000,$410000,$420000,10.3%
Total Operating Expenses,$7200000,$1680000,$1750000,$1860000,$1910000,15.2%
Operating Income,$3900000,$820000,$950000,$1040000,$1090000,44.4%
Operating Margin,21.1%,19.5%,21.1%,21.7%,21.8%,+3.6pp
Interest Expense,$180000,$50000,$45000,$45000,$40000,-18.2%
Other Income,$85000,$20000,$21000,$22000,$22000,13.3%
Income Before Taxes,$3805000,$790000,$926000,$1017000,$1072000,46.8%
Income Tax Expense,$950000,$197500,$231500,$254250,$268000,46.8%
Net Income,$2855000,$592500,$694500,$762750,$804000,46.8%
Net Profit Margin,15.4%,14.1%,15.4%,15.9%,16.1%,+2.8pp
Earnings Per Share,$2.86,$0.59,$0.69,$0.76,$0.80,46.8%
Shares Outstanding,1000000,1000000,1000000,1000000,1000000,0.0%
EBITDA,$4500000,$1000000,$1100000,$1180000,$1220000,38.5%
