Metric,Amount,Category
Cash and Cash Equivalents,6200000,Current Assets
Accounts Receivable,2400000,Current Assets
Inventory,1300000,Current Assets
Prepaid Expenses,350000,Current Assets
Total Current Assets,10250000,Current Assets
Property Plant Equipment,5500000,Fixed Assets
Accumulated Depreciation,-1350000,Fixed Assets
Net PPE,4150000,Fixed Assets
Intangible Assets,750000,Fixed Assets
Goodwill,1500000,Fixed Assets
Total Assets,16650000,Total
Accounts Payable,1400000,Current Liabilities
Accrued Expenses,700000,Current Liabilities
Short Term Debt,300000,Current Liabilities
Current Portion Long Term Debt,400000,Current Liabilities
Total Current Liabilities,2800000,Current Liabilities
Long Term Debt,2600000,Long Term Liabilities
Deferred Tax Liability,350000,Long Term Liabilities
Total Liabilities,5750000,Total Liabilities
Common Stock,2000000,Equity
Retained Earnings,8900000,Equity
Total Equity,10900000,Equity
Total Liabilities and Equity,16650000,Verification

